"","x"
"1",0.0588239961345458
"2",0.108766877066514
"3",0.0779001861132908
"4",0.0688142840843033
"5",0.100936958322027
"6",0.0649611092913617
"7",0.0661210029502525
"8",0.0666019356574201
"9",0.0615007281817865
"10",0.104379247681903
"11",0.105912571733765
"12",0.0566895133032611
"13",0.122520680503561
"14",0.0668753954385398
"15",0.0606426324600193
"16",0.0715886690898265
"17",0.0816757429458436
"18",0.0903211633468769
"19",0.0806093271873194
"20",0.113050725518458
"21",0.100451835817212
"22",0.0599222473464889
"23",0.086804035595891
"24",0.0878226608294402
"25",0.0621154542126517
"26",0.078379865421989
"27",0.0578634331175986
"28",0.0704905275944659
"29",0.0756313778108979
"30",0.105804284259773
"31",0.0413482194776196
"32",0.242804968401889
"33",0.0670598469766461
"34",0.0767367170044943
"35",0.066907582431372
"36",0.0766626590472399
"37",0.0725449681143469
"38",0.0880797491295157
"39",0.0890878676155494
"40",0.0719598309229086
"41",0.0683059362619938
"42",0.035254098435825
"43",0.0622862996942104
"44",0.115936867570871
"45",0.0681089988622528
"46",0.0753773850964538
"47",0.0753766533226232
"48",0.0822643213352348
"49",0.0979906543998323
"50",0.0789586315765234
"51",0.0866622672433998
"52",0.110589311212554
"53",0.131381313451058
"54",0.107209617253048
"55",0.0823636737296526
"56",0.0729106329622781
"57",0.075955178381679
"58",0.0731460129820746
"59",0.0701336140961576
"60",0.0683854633657674
"61",0.0791399022274437
"62",0.0516393515515798
"63",0.0532667704441735
"64",0.0795624493122156
"65",0.061867343750381
"66",0.0668672865179081
"67",0.147975500816498
"68",0.0778996490444214
"69",0.0845063630599883
"70",0.0870200652350881
"71",0.0530714672336485
"72",0.133460527151721
"73",0.0953237881081353
"74",0.0908590504032752
"75",0.072968989449159
"76",0.0737953340260847
"77",0.126214977898873
"78",0.0713782918128891
"79",0.0785116778082851
"80",0.0873136865070118
"81",0.0768835952082631
"82",0.0753323355200406
"83",0.0759875160858416
"84",0.0567006551648373
"85",0.0838873711817328
"86",0.0754723431275814
"87",0.000354047269351901
"88",0.0615701149526579
"89",0.069445604280812
"90",0.0641752917263468
"91",0.122785915410518
"92",0.0660498633406383
"93",0.0620516813834158
"94",0.105676000893339
"95",0.119240529569212
"96",0.097834308767232
"97",0.0657598802299448
"98",0.0680073235607107
"99",0.0894316035667901
"100",0.0631852680626949
"101",0.101466838463631
"102",0.1065066280658
"103",0.0579628645039018
"104",0.102320187598893
"105",0.0715281414134511
"106",0.0706372364708833
"107",0.0599763729832202
"108",0.0866649838892687
"109",0.0870726910302945
"110",0.116435771419446
"111",0.0530845866607856
"112",0.0906676317364273
"113",0.0795328176482405
"114",0.104010455732603
"115",0.0638239987997373
"116",0.0706204706761333
"117",0.0737412349194358
"118",0.100944453501196
"119",0.0928005053312127
"120",0.109952412736965
"121",0.0962074132884778
"122",0.0577424325425439
"123",0.150328886924309
"124",0.0788041081892002
"125",0.0734128457063934
"126",0.0884982780191112
"127",0.0999421658662107
"128",0.0983521799438144
"129",0.0783617544554037
"130",0.0656161919905545
"131",0.064996850505747
"132",0.0925288595855017
"133",0.110097664213541
"134",0.0697072493318997
"135",0.0643271777904817
"136",0.0892698281885812
"137",0.0623344244623787
"138",0.0728657776979486
"139",0.162792003972354
"140",0.0925343947956436
"141",0.0786724853965605
"142",0.119692637291791
"143",0.118240154504902
"144",0.0742164232658647
"145",0.0939224532913246
"146",0.0873528694659158
"147",0.100098091058801
"148",0.0999579044402756
"149",0.0799772627997846
"150",0.0594957036743698
"151",0.0820811635226112
"152",0.0998439909255514
"153",0.0660149574645585
"154",0.0708943902763511
"155",0.102007391856701
"156",0.0733123581078211
"157",0.0902590901516673
"158",0.0889001990006782
"159",0.100190040636108
"160",0.0694591340692709
"161",0.0401178843698201
"162",0.0731907528705161
"163",0.072119273134941
"164",0.0636015701266561
"165",0.0579718086750591
"166",0.0707711309839975
"167",0.0685288561714368
"168",0.0900624822932298
"169",0.0707309952207843
"170",0.0930151910981421
"171",0.0818183340429684
"172",0.12389163192865
"173",0.0958823751017284
"174",0.0777147312963214
"175",0.0800859684341444
"176",0.0566574596836532
"177",0.0969044371598582
"178",0.100804699548814
"179",0.0772600390725161
"180",0.0646431741546055
"181",0.081650744260917
"182",0.0886698154667188
"183",0.0620419882849187
"184",0.0951120439011099
"185",0.0675606398507712
"186",0.0919201249378568
"187",0.0960483773597219
"188",0.0645807953104491
"189",0.106161180997593
"190",0.0730090868758015
"191",0.0802562497687629
"192",0.0741654150670827
"193",0.0496937845663716
"194",0.0729844213079984
"195",0.0710682455471832
"196",0.0915686801748063
"197",0.0568870327292476
"198",0.0977036498865218
"199",0.0976293411710276
"200",0.117606142556551
"201",0.0778941620159894
"202",0.0501159569546513
"203",0.0745120326016494
"204",0.065625557567387
"205",0.0812193722380271
"206",0.0731786891220974
"207",0.107333201254863
"208",0.0663865951488917
"209",0.0657417498350695
"210",0.0832854787119027
"211",0.0775300232536949
"212",0.0787231535701507
"213",0.128168864252882
"214",0.0971721221458508
"215",0.0804003289041254
"216",0.100959279083948
"217",0.0710050776986195
"218",0.0977400453208102
"219",0.0703256778520325
"220",0.0722758680449742
"221",0.0685850622901841
"222",0.0979212688068774
"223",0.066396144784498
"224",0.0877603254854618
"225",0.0710330108035845
"226",0.0598034224665729
"227",0.103505145153855
"228",0.0730742305483113
"229",0.0553691469594826
"230",0.0710814049405732
"231",0.0851719536224613
"232",0.0874340671789914
"233",0.0871959058374562
"234",0.101381814332524
"235",0.0778094010502206
"236",0.0898819439573265
"237",0.0695925365926543
"238",0.0734859346372626
"239",0.0685622678006744
"240",0.0673222535983434
"241",0.124585149164114
"242",0.0828229225562384
"243",0.0670630304770822
"244",0.0832312048193784
"245",0.0607488686762853
"246",0.11673664954795
"247",0.0548413452982434
"248",0.0633744394368691
"249",0.0664698006289155
"250",0.0586401377062213
"251",0.0794183362222752
"252",0.0685200450821161
"253",0.110140033718675
"254",0.100294965786241
"255",0.0687479323766992
"256",0.109208649876715
"257",0.209107478224851
"258",0.0816853903925587
"259",0.122027034562187
"260",0.098466482563733
"261",0.0676403212789428
"262",0.0821778435748547
"263",0.0609718727614946
"264",0.0824108256201859
"265",0.0473252317116979
"266",0.114470720402146
"267",0.0804696350272308
"268",0.0865333560539962
"269",0.112826712619761
"270",0.062924664291883
"271",0.0736495477010484
"272",0.0868531151673569
"273",0.106807929648669
