"","x"
"1",0.0895124653046774
"2",0.0840425566241412
"3",0.0997937982627409
"4",0.0929970407700592
"5",0.149740214564932
"6",0.0968772916478021
"7",0.0819274018433661
"8",0.137623827935335
"9",0.0866884268358037
"10",0.129522612766425
"11",0.120107594201101
"12",0.095765780159723
"13",0.0832233466357998
"14",0.0859813502451586
"15",0.115348465426248
"16",0.0935420316576931
"17",0.0930413000986705
"18",0.142821940925442
"19",0.0866243522917558
"20",0.148796322998393
"21",0.130717034100303
"22",0.093084161079129
"23",0.0845797519659296
"24",0.093735778808541
"25",0.0996622721890713
"26",0.0914296373447674
"27",0.122352946828109
"28",0.0980130045493452
"29",0.093768621751189
"30",0.105409784405425
"31",0.0959570191570009
"32",0.0881170777259356
"33",0.091165388535323
"34",0.116068443204087
"35",0.11014771035042
"36",0.0883100574437288
"37",0.0972054082416167
"38",0.120778665492904
"39",0.0860392445995781
"40",0.0764633273798212
"41",0.0809463595151601
"42",0.0828093764331893
"43",0.0935064683158621
"44",0.0794072219886228
"45",0.0940748434403895
"46",0.0938868586987708
"47",0.0929103109670284
"48",0.117455894238177
"49",0.0964644982616581
"50",0.0904040474605353
"51",0.0956163114379637
"52",0.113486433106528
"53",0.110148824894373
"54",0.0993715908006003
"55",0.0765825751768454
"56",0.124144657483449
"57",0.0863987583664429
"58",0.0886506074577685
"59",0.0990029308731665
"60",0.0922828552268014
"61",0.0856179184990741
"62",0.0923772735520488
"63",0.0928155210550835
"64",0.100436779438905
"65",0.0850742539252283
"66",0.0972466299168728
"67",0.0905521965434792
"68",0.0854534540738018
"69",0.121483249854387
"70",0.0905566678719866
"71",0.0942993592439922
"72",0.0870776603825333
"73",0.105748957113393
"74",0.191442590846836
"75",0.0933050900808296
"76",0.108014768284154
"77",0.084214465619903
"78",0.109216293310213
"79",0.0898610817946
"80",0.0812757837454412
"81",0.100162624385635
"82",0.0912846994798323
"83",0.127170587369825
"84",0.0856041952983413
"85",0.0977092008501486
"86",0.0999586145654951
