"","x"
"1",0.057679066280771
"2",0.0646155666514585
"3",0.0616438837780572
"4",0.0573335324391046
"5",0.0879542927605109
"6",0.071318358405998
"7",0.0708632675026917
"8",0.0609079992733294
"9",0.0635147432458225
"10",0.0738492129887421
"11",0.0750442678330213
"12",0.0740070977010149
"13",0.0617326489605192
"14",0.0647783493444085
"15",0.0593168467544696
"16",0.0591887283218055
"17",0.0649226434632554
"18",0.0626923510048898
"19",0.0974163259289908
"20",0.0845429755691288
"21",0.0603559651017194
"22",0.100918692841745
"23",0.0675741769214543
"24",0.075391370013005
"25",0.0687738444433271
"26",0.0856902971671907
"27",0.0662829393596108
"28",0.0634373215040721
"29",0.0621148372969116
"30",0.0756103582723436
"31",0.0729944312289886
"32",0.0689424728093474
"33",0.0641283425762874
"34",0.105186812946588
"35",0.0613657876467355
"36",0.0936161045448482
"37",0.0592316100007318
"38",0.156142883408894
"39",0.0602042853810455
"40",0.060414474264795
"41",0.0678075378814012
"42",0.07013744450095
"43",0.0871512767304751
"44",0.0568554298549094
"45",0.0666466639911957
"46",0.0837496863540885
"47",0.0642793648844468
"48",0.0730400715351092
"49",0.0763531399889011
"50",0.0919595020822411
"51",0.0761567549381383
"52",0.0751242763799174
"53",0.0581852163526826
"54",0.0667855693388287
"55",0.0579913460820189
"56",0.0686869376186666
"57",0.0971344276844242
"58",0.0695307051904769
"59",0.0629959650865228
"60",0.0646519904312834
"61",0.059960402257296
"62",0.0813096800283463
"63",0.0651775542614953
"64",0.0643237969880132
"65",0.0613934465465501
"66",0.065916264474633
"67",0.0600664410027261
"68",0.0750536095212646
"69",0.0670464011699905
"70",0.0889038367386223
"71",0.107058930521255
"72",0.0625655280827909
"73",0.0583270568187513
"74",0.0786253458157286
"75",0.0685839135822515
"76",0.0727047435397346
"77",0.0753374082370196
"78",0.0538444760307159
"79",0.0565970897420718
"80",0.0602979592870847
"81",0.0653195697267839
"82",0.0668893249898075
"83",0.0872518572171613
"84",0.0720697273972564
"85",0.0705002960505271
"86",0.108521347238093
