"","x"
"1",0.0801714230227323
"2",0.0931765458988697
"3",0.079368762874016
"4",0.0702599652101117
"5",0.0764237855013469
"6",0.0722659944134756
"7",0.0609716215436908
"8",0.0704356931003247
"9",0.161645096587601
"10",0.0882617253756694
"11",0.0788415979619107
"12",0.0861388082524209
"13",0.0797543652660527
"14",0.0628146164140392
"15",0.195497511865944
"16",0.0712581587182383
"17",0.157324208503952
"18",0.0696842898986165
"19",0.053761319749343
"20",0.0775519843032732
"21",0.0480287514106161
"22",0.0789210302473601
"23",0.0695250992925386
"24",0.13249872271555
"25",0.0922101006829554
"26",0.0857786151792996
"27",0.0925911112246901
"28",0.0764587882456829
"29",0.0628515628552344
"30",0.111488498030142
"31",0.101531459419796
"32",0.111190050620728
"33",0.0903768062887728
"34",0.111898985249376
"35",0.0737354243160896
"36",0.133047344028466
"37",0.0489636383934387
"38",0.105395713378299
"39",0.109154042287919
"40",0.0765146182353068
"41",0.0736181316172975
"42",0.0978651073441969
"43",0.0892793228739222
"44",0.100247276252612
"45",0.0860488163481784
"46",0.080641088587026
"47",0.0446869847935653
"48",0.0854519750977644
"49",0.0779150762150665
"50",0.0730243044706537
"51",0.0815998154200068
"52",0.108570439159102
"53",0.096978514132104
"54",0.0937579820196394
"55",0.0850851772854969
"56",0.0705461798146155
"57",0.0769788314841469
"58",0.0840283242299535
"59",0.110780126003136
"60",0.0693838177140654
"61",0.0756828300906039
"62",0.0823660941954937
"63",0.0514519303570209
"64",0.0764331256117682
"65",0.0752469452305615
"66",0.0629254075299617
"67",0.0672215319145532
"68",0.0977912928506229
"69",0.071381141635772
"70",0.0751789705377839
"71",0.0721424053900609
"72",0.0613946907730385
"73",0.0615593217756252
"74",0.0814598414946051
"75",0.101073105562316
"76",0.0689866373307163
"77",0.23351924816079
"78",0.0747367833411441
"79",0.079659327494141
"80",0.080890318348627
"81",0.056489680845565
"82",0.0767917913766635
"83",0.0690979712633264
"84",0.151349327276739
"85",0.0784287159462358
"86",0.0913734409119758
"87",0.0624932984731651
"88",0.08785934304727
"89",0.0614339698892779
"90",0.0984702581498778
"91",0.0733934483544623
"92",0.0770155241403946
"93",0.0643600683405309
"94",0.10758677803169
"95",0.0926434565717574
"96",0.103328562787827
"97",0.0775140674470605
"98",0.0648626847379337
"99",0.100669771130579
"100",0.0781475086890985
"101",0.0714039229022475
