site,transect,GIS_id,demog_id,window,max.ht,max.w,perp.w,max.ht.dead,max.w.dea,perp.w.dead,notes,outwindow
FPS,1,1_90,,30,63,52,32,64,152,121,"> 1m from transect, but very close to 1 m line, could be in?",
FPS,1,1_91,,30,28,26,17,47,61,40,,
FPS,1,1_92,,35,43,27,23,57,98,54,,
FPS,1,1_93,,,27,21,13,26,34,34,> 1 m from transect,30
FPS,1,1_94,,,52,66,32,60,132,147,> 1 m from transect,30
FPS,1,1_95,,,15,18,19,16,29,24,> 1 m from transect,30
FPS,1,1_96,,,64,51,45,62,95,57,> 1 m from transect,30
FPS,1,1_97,,,62,36,25,79,101,48,> 1m from transect,30
FPS,1,,,35,62,32,26,46,72,50,,
FPS,1,,,35,26,41,40,36,52,56,,
FPS,1,,,35,68,70,57,67,105,69,,
FPS,1,,,35,39,35,39,43,85,68,,
FPS,1,,,35,61,51,50,63,102,80,,
FPS,1,,,35,34,60,44,48,98,91,,
FPS,1,,,35,13,15,19,0,0,0,,
FPS,1,,,35,55,59,66,79,141,123,,
FPS,1,,,40,50,47,70,75,99,107,,
FPS,1,,,40,56,56,49,58,109,110,,
FPS,1,,,45,50,49,40,80,105,110,,
FPS,1,,,45,56,87,57,102,144,143,,
FPS,1,,1_50_1,50,139,200,93,139,256,205,,
FPS,1,,1_50_2,50,17,38,30,36,46,42,,
FPS,1,,1_50_4,55,38,44,43,74,127,105,,
FPS,1,,,60,88,96,87,89,154,137,,
FPS,1,,,70,83,132,107,94,173,160,,
FPS,1,,,75,76,89,100,129,226,240,,
FPS,1,,,80,121,141,87,164,237,318,,
FPS,1,,,95,119,229,128,134,244,270,,
FPS,1,,1_100_1,105,79,79,73,79,125,119,,
FPS,1,,1_100_2,105,135,117,114,135,155,144,,
FPS,1,,,110,197,154,138,105,146,120,,
FPS,1,,,120,53,70,70,38,83,59,,
FPS,1,,,125,71,105,85,59,113,130,,
FPS,1,,,140,140,245,265,118,181,214,,
FPS,1,,1_150_1,145,67,130,94,99,195,141,,
FPS,1,,1_150_2,150,184,92,87,99,179,170,,
FPS,1,,,160,83,149,99,103,189,190,,
FPS,1,,,165,37,48,36,35,37,17,,
FPS,1,,,170,72,83,76,94,150,174,,
FPS,1,,,170,62,64,48,25,65,37,,
FPS,1,,,180,46,51,39,36,86,89,,
FPS,1,,,180,60,72,63,76,143,95,,
FPS,1,,,180,90,76,51,82,150,102,,
FPS,1,,,180,74,67,68,85,113,110,,
